Data;Ano;Mês;Nome do Mês;Dia;Dia da Semana;Dia Útil;Semana;CW;Trimestre;Nome do Trimestre;Semestre;Nome do Semestre;Início do Mês;Mês/Ano;Mês/Ano Curto
2000-01-30;2000;1;Janeiro;30;Domingo;Final de Semana;6;06/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-31;2000;1;Janeiro;31;Segunda-Feira;Dia Útil;6;06/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-02-01;2000;2;Fevereiro;1;Terça-Feira;Dia Útil;6;06/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-02;2000;2;Fevereiro;2;Quarta-Feira;Dia Útil;6;06/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-03;2000;2;Fevereiro;3;Quinta-Feira;Dia Útil;6;06/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-04;2000;2;Fevereiro;4;Sexta-Feira;Dia Útil;6;06/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-05;2000;2;Fevereiro;5;Sábado;Final de Semana;6;06/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-06;2000;2;Fevereiro;6;Domingo;Final de Semana;7;07/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-07;2000;2;Fevereiro;7;Segunda-Feira;Dia Útil;7;07/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-08;2000;2;Fevereiro;8;Terça-Feira;Dia Útil;7;07/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-09;2000;2;Fevereiro;9;Quarta-Feira;Dia Útil;7;07/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-10;2000;2;Fevereiro;10;Quinta-Feira;Dia Útil;7;07/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-11;2000;2;Fevereiro;11;Sexta-Feira;Dia Útil;7;07/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-12;2000;2;Fevereiro;12;Sábado;Final de Semana;7;07/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-13;2000;2;Fevereiro;13;Domingo;Final de Semana;8;08/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-14;2000;2;Fevereiro;14;Segunda-Feira;Dia Útil;8;08/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-15;2000;2;Fevereiro;15;Terça-Feira;Dia Útil;8;08/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-16;2000;2;Fevereiro;16;Quarta-Feira;Dia Útil;8;08/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-17;2000;2;Fevereiro;17;Quinta-Feira;Dia Útil;8;08/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-18;2000;2;Fevereiro;18;Sexta-Feira;Dia Útil;8;08/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-19;2000;2;Fevereiro;19;Sábado;Final de Semana;8;08/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-20;2000;2;Fevereiro;20;Domingo;Final de Semana;9;09/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-21;2000;2;Fevereiro;21;Segunda-Feira;Dia Útil;9;09/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-22;2000;2;Fevereiro;22;Terça-Feira;Dia Útil;9;09/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-23;2000;2;Fevereiro;23;Quarta-Feira;Dia Útil;9;09/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-24;2000;2;Fevereiro;24;Quinta-Feira;Dia Útil;9;09/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-25;2000;2;Fevereiro;25;Sexta-Feira;Dia Útil;9;09/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-26;2000;2;Fevereiro;26;Sábado;Final de Semana;9;09/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-27;2000;2;Fevereiro;27;Domingo;Final de Semana;10;10/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-28;2000;2;Fevereiro;28;Segunda-Feira;Dia Útil;10;10/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-02-29;2000;2;Fevereiro;29;Terça-Feira;Dia Útil;10;10/00;1;Trim 1;1;Semestre 1;2000-02-01;fev/00;fev/00
2000-03-01;2000;3;Março;1;Quarta-Feira;Dia Útil;10;10/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-02;2000;3;Março;2;Quinta-Feira;Dia Útil;10;10/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-03;2000;3;Março;3;Sexta-Feira;Dia Útil;10;10/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-04;2000;3;Março;4;Sábado;Final de Semana;10;10/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-05;2000;3;Março;5;Domingo;Final de Semana;11;11/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-06;2000;3;Março;6;Segunda-Feira;Dia Útil;11;11/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-07;2000;3;Março;7;Terça-Feira;Dia Útil;11;11/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-08;2000;3;Março;8;Quarta-Feira;Dia Útil;11;11/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-09;2000;3;Março;9;Quinta-Feira;Dia Útil;11;11/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-10;2000;3;Março;10;Sexta-Feira;Dia Útil;11;11/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-11;2000;3;Março;11;Sábado;Final de Semana;11;11/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-12;2000;3;Março;12;Domingo;Final de Semana;12;12/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-13;2000;3;Março;13;Segunda-Feira;Dia Útil;12;12/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-14;2000;3;Março;14;Terça-Feira;Dia Útil;12;12/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-15;2000;3;Março;15;Quarta-Feira;Dia Útil;12;12/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-16;2000;3;Março;16;Quinta-Feira;Dia Útil;12;12/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-17;2000;3;Março;17;Sexta-Feira;Dia Útil;12;12/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-18;2000;3;Março;18;Sábado;Final de Semana;12;12/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-19;2000;3;Março;19;Domingo;Final de Semana;13;13/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-20;2000;3;Março;20;Segunda-Feira;Dia Útil;13;13/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-21;2000;3;Março;21;Terça-Feira;Dia Útil;13;13/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-22;2000;3;Março;22;Quarta-Feira;Dia Útil;13;13/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-23;2000;3;Março;23;Quinta-Feira;Dia Útil;13;13/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-24;2000;3;Março;24;Sexta-Feira;Dia Útil;13;13/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-25;2000;3;Março;25;Sábado;Final de Semana;13;13/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-26;2000;3;Março;26;Domingo;Final de Semana;14;14/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-27;2000;3;Março;27;Segunda-Feira;Dia Útil;14;14/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-28;2000;3;Março;28;Terça-Feira;Dia Útil;14;14/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-29;2000;3;Março;29;Quarta-Feira;Dia Útil;14;14/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-30;2000;3;Março;30;Quinta-Feira;Dia Útil;14;14/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-03-31;2000;3;Março;31;Sexta-Feira;Dia Útil;14;14/00;1;Trim 1;1;Semestre 1;2000-03-01;mar/00;mar/00
2000-04-01;2000;4;Abril;1;Sábado;Final de Semana;14;14/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-02;2000;4;Abril;2;Domingo;Final de Semana;15;15/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-03;2000;4;Abril;3;Segunda-Feira;Dia Útil;15;15/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-04;2000;4;Abril;4;Terça-Feira;Dia Útil;15;15/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-05;2000;4;Abril;5;Quarta-Feira;Dia Útil;15;15/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-06;2000;4;Abril;6;Quinta-Feira;Dia Útil;15;15/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-07;2000;4;Abril;7;Sexta-Feira;Dia Útil;15;15/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-08;2000;4;Abril;8;Sábado;Final de Semana;15;15/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-09;2000;4;Abril;9;Domingo;Final de Semana;16;16/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-10;2000;4;Abril;10;Segunda-Feira;Dia Útil;16;16/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-11;2000;4;Abril;11;Terça-Feira;Dia Útil;16;16/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-12;2000;4;Abril;12;Quarta-Feira;Dia Útil;16;16/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-13;2000;4;Abril;13;Quinta-Feira;Dia Útil;16;16/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-14;2000;4;Abril;14;Sexta-Feira;Dia Útil;16;16/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-15;2000;4;Abril;15;Sábado;Final de Semana;16;16/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-16;2000;4;Abril;16;Domingo;Final de Semana;17;17/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-17;2000;4;Abril;17;Segunda-Feira;Dia Útil;17;17/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-18;2000;4;Abril;18;Terça-Feira;Dia Útil;17;17/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-19;2000;4;Abril;19;Quarta-Feira;Dia Útil;17;17/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-20;2000;4;Abril;20;Quinta-Feira;Dia Útil;17;17/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-21;2000;4;Abril;21;Sexta-Feira;Dia Útil;17;17/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-22;2000;4;Abril;22;Sábado;Final de Semana;17;17/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-23;2000;4;Abril;23;Domingo;Final de Semana;18;18/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-24;2000;4;Abril;24;Segunda-Feira;Dia Útil;18;18/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-25;2000;4;Abril;25;Terça-Feira;Dia Útil;18;18/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-26;2000;4;Abril;26;Quarta-Feira;Dia Útil;18;18/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-27;2000;4;Abril;27;Quinta-Feira;Dia Útil;18;18/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-28;2000;4;Abril;28;Sexta-Feira;Dia Útil;18;18/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-29;2000;4;Abril;29;Sábado;Final de Semana;18;18/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-04-30;2000;4;Abril;30;Domingo;Final de Semana;19;19/00;2;Trim 2;1;Semestre 1;2000-04-01;abr/00;abr/00
2000-05-01;2000;5;Maio;1;Segunda-Feira;Dia Útil;19;19/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-02;2000;5;Maio;2;Terça-Feira;Dia Útil;19;19/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-03;2000;5;Maio;3;Quarta-Feira;Dia Útil;19;19/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-04;2000;5;Maio;4;Quinta-Feira;Dia Útil;19;19/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-05;2000;5;Maio;5;Sexta-Feira;Dia Útil;19;19/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-06;2000;5;Maio;6;Sábado;Final de Semana;19;19/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-07;2000;5;Maio;7;Domingo;Final de Semana;20;20/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-08;2000;5;Maio;8;Segunda-Feira;Dia Útil;20;20/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-09;2000;5;Maio;9;Terça-Feira;Dia Útil;20;20/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-10;2000;5;Maio;10;Quarta-Feira;Dia Útil;20;20/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-11;2000;5;Maio;11;Quinta-Feira;Dia Útil;20;20/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-12;2000;5;Maio;12;Sexta-Feira;Dia Útil;20;20/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-13;2000;5;Maio;13;Sábado;Final de Semana;20;20/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-14;2000;5;Maio;14;Domingo;Final de Semana;21;21/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-15;2000;5;Maio;15;Segunda-Feira;Dia Útil;21;21/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-16;2000;5;Maio;16;Terça-Feira;Dia Útil;21;21/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-17;2000;5;Maio;17;Quarta-Feira;Dia Útil;21;21/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-18;2000;5;Maio;18;Quinta-Feira;Dia Útil;21;21/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-19;2000;5;Maio;19;Sexta-Feira;Dia Útil;21;21/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-20;2000;5;Maio;20;Sábado;Final de Semana;21;21/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-21;2000;5;Maio;21;Domingo;Final de Semana;22;22/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-22;2000;5;Maio;22;Segunda-Feira;Dia Útil;22;22/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-23;2000;5;Maio;23;Terça-Feira;Dia Útil;22;22/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-24;2000;5;Maio;24;Quarta-Feira;Dia Útil;22;22/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-25;2000;5;Maio;25;Quinta-Feira;Dia Útil;22;22/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-26;2000;5;Maio;26;Sexta-Feira;Dia Útil;22;22/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-27;2000;5;Maio;27;Sábado;Final de Semana;22;22/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-28;2000;5;Maio;28;Domingo;Final de Semana;23;23/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-29;2000;5;Maio;29;Segunda-Feira;Dia Útil;23;23/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-30;2000;5;Maio;30;Terça-Feira;Dia Útil;23;23/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-05-31;2000;5;Maio;31;Quarta-Feira;Dia Útil;23;23/00;2;Trim 2;1;Semestre 1;2000-05-01;mai/00;mai/00
2000-06-01;2000;6;Junho;1;Quinta-Feira;Dia Útil;23;23/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-02;2000;6;Junho;2;Sexta-Feira;Dia Útil;23;23/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-03;2000;6;Junho;3;Sábado;Final de Semana;23;23/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-04;2000;6;Junho;4;Domingo;Final de Semana;24;24/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-05;2000;6;Junho;5;Segunda-Feira;Dia Útil;24;24/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-06;2000;6;Junho;6;Terça-Feira;Dia Útil;24;24/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-07;2000;6;Junho;7;Quarta-Feira;Dia Útil;24;24/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-08;2000;6;Junho;8;Quinta-Feira;Dia Útil;24;24/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-09;2000;6;Junho;9;Sexta-Feira;Dia Útil;24;24/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-10;2000;6;Junho;10;Sábado;Final de Semana;24;24/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-11;2000;6;Junho;11;Domingo;Final de Semana;25;25/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-12;2000;6;Junho;12;Segunda-Feira;Dia Útil;25;25/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-13;2000;6;Junho;13;Terça-Feira;Dia Útil;25;25/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-14;2000;6;Junho;14;Quarta-Feira;Dia Útil;25;25/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-15;2000;6;Junho;15;Quinta-Feira;Dia Útil;25;25/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-16;2000;6;Junho;16;Sexta-Feira;Dia Útil;25;25/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-17;2000;6;Junho;17;Sábado;Final de Semana;25;25/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-18;2000;6;Junho;18;Domingo;Final de Semana;26;26/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-19;2000;6;Junho;19;Segunda-Feira;Dia Útil;26;26/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-20;2000;6;Junho;20;Terça-Feira;Dia Útil;26;26/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-21;2000;6;Junho;21;Quarta-Feira;Dia Útil;26;26/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-22;2000;6;Junho;22;Quinta-Feira;Dia Útil;26;26/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-23;2000;6;Junho;23;Sexta-Feira;Dia Útil;26;26/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-24;2000;6;Junho;24;Sábado;Final de Semana;26;26/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-25;2000;6;Junho;25;Domingo;Final de Semana;27;27/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-26;2000;6;Junho;26;Segunda-Feira;Dia Útil;27;27/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-27;2000;6;Junho;27;Terça-Feira;Dia Útil;27;27/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-28;2000;6;Junho;28;Quarta-Feira;Dia Útil;27;27/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-29;2000;6;Junho;29;Quinta-Feira;Dia Útil;27;27/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-06-30;2000;6;Junho;30;Sexta-Feira;Dia Útil;27;27/00;2;Trim 2;1;Semestre 1;2000-06-01;jun/00;jun/00
2000-07-01;2000;7;Julho;1;Sábado;Final de Semana;27;27/00;3;Trim 3;2;Semestre 2;2000-07-01;jul/00;jul/00
2000-07-02;2000;7;Julho;2;Domingo;Final de Semana;28;28/00;3;Trim 3;2;Semestre 2;2000-07-01;jul/00;jul/00
2000-07-03;2000;7;Julho;3;Segunda-Feira;Dia Útil;28;28/00;3;Trim 3;2;Semestre 2;2000-07-01;jul/00;jul/00
2000-07-04;2000;7;Julho;4;Terça-Feira;Dia Útil;28;28/00;3;Trim 3;2;Semestre 2;2000-07-01;jul/00;jul/00
2000-07-05;2000;7;Julho;5;Quarta-Feira;Dia Útil;28;28/00;3;Trim 3;2;Semestre 2;2000-07-01;jul/00;jul/00
2000-07-06;2000;7;Julho;6;Quinta-Feira;Dia Útil;28;28/00;3;Trim 3;2;Semestre 2;2000-07-01;jul/00;jul/00
